ab_depth_reached,ab_instability,ab_pruning_rate,ab_ranking_correlation,ab_reach_depth,ab_root_eval_std,best_move_margin,branch_mean_spread,branch_top2_gap,branch_value_skew,branching_mean_d2,branching_mean_d4,budget_coverage,depth,depth_chance_inter,depth_deficit,depth_deficit_rel,exact_second_best_value,heur_incoherence,leaf_density,leaf_depth_std,leaf_value_range,leaf_value_std_d3,leaf_value_std_d5,mcts_best_value_estimate,mcts_unanimous,mcts_visit_entropy,mcts_vote_margin,node_budget,node_count_d4,total_internal_nodes,total_min_nodes,total_nodes,which_algo,which_algo_enc,which_better,which_better_enc,is_tie,ab_correct,mcts_correct,mcts_correct_rate,is_contested,margin_category,margin_category_enc,tree_difficulty,tree_difficulty_enc,delta,ab_regret,mcts_regret
4,0.6666666666666666,0.1266427718040621,0.6071428571428571,3.81434554138596,0.266351696314876,0.4634378699612799,0.3517258413469126,0.0044511701188625,0.2262647004417828,7.578947368421052,7.405298759864713,0.1085517778354528,5,3.8477053615691643,1.1856544586140396,0.2371308917228079,0.0224097500548589,0.2141183233751347,0.8650402283934596,0.1467731587573243,1.9884706070292912,0.5034784587028237,0.5866586533857336,0.364737940309003,1,1.1968341513808576,0.5343661593090584,1673,1941,2080,51,15412,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
2,0.0,0.0647058823529411,0.9642857142857142,2.466959812094061,0.4688660598987683,0.2812549727173529,0.2900662761416809,0.1882159419819902,0.5088582228074204,7.897959183673469,0.0,0.0529448621553884,4,0.0,1.5330401879059383,0.3832600469764846,0.4349491529271343,0.333456728038643,0.8703007518796992,0.1222736920494009,1.9171937275966977,0.4243255471966434,0.0,0.7477449820539858,1,1.7833247086666524,0.1072727272727272,169,2745,414,364,3192,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
1,0.0,0.0,0.8999999999999998,1.8613531161467864,0.1666885599709352,0.0118695376559172,0.2806900348571617,0.0203744915308889,-1.2194260849395495,4.9523809523809526,0.0,0.1492537313432835,3,1.7987010091344398,1.1386468838532138,0.3795489612844046,0.9769656954873732,0.1620144998230092,0.7985074626865671,0.1650796423612681,1.9877094194081584,0.5542052752789172,0.0,0.9601472529048886,1,1.5517770679545366,0.0,20,0,27,2,134,AB,0,AB,0,0,1,0,0.0,1,low,0,medium,1,0.0533835633466193,0.0,0.0533835633466193
4,0.3333333333333333,0.0814814814814814,0.9999999999999998,4.458205911649461,0.0409778766778018,0.5499130452475494,0.1501845373572076,0.3003690747144153,0.0,3.0,3.372549019607843,0.0559265442404006,7,3.3208049850480252,2.5417940883505388,0.3631134411929341,0.0036944661716003,0.2102463087959537,0.6965776293823038,0.2963117043883546,1.9333731026311909,0.0812761078658889,0.2915293544443683,0.6163926605757161,1,0.5541918137046236,0.5079051383399209,134,55,727,94,2396,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
1,0.0,0.0,0.6868131868131868,1.1351524045863497,0.6543941427695177,0.6076251682944112,0.4962422715728362,0.3031226756340108,0.2186757630511701,0.0,0.0,0.1098901098901098,2,0.0651175996990716,0.8648475954136505,0.4324237977068252,-0.4040607717201738,0.7514757505578105,0.9230769230769232,0.0,1.998777627512405,0.0,0.0,-0.4517872960135651,1,2.302585092994045,0.0,20,0,14,12,182,AB,0,AB,0,0,1,0,0.0,0,high,2,medium,1,1.2010625960973773,0.0,1.2010625960973773
4,1.0,0.1515633280339162,0.7714285714285715,4.209389481526123,0.3945834223866704,0.5616419621355592,0.27160303104624,0.4385105639521156,0.3750824326089753,6.166666666666667,6.323499491353001,0.250498074113428,5,1.0199010745466994,0.7906105184738772,0.1581221036947754,0.1095085837232679,0.3052354279395305,0.8416788418116615,0.1779761865755016,1.9671218121169003,0.3106832390515953,0.4920462203355248,0.546403582964166,1,0.9568643808896165,0.674617628773872,1886,1087,1192,137,7529,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
3,0.5,0.109546165884194,0.6071428571428571,3.10580420458829,0.4639349273434791,0.037847884639636,0.4299940419061226,0.097656682016799,-0.4243377423115892,8.071428571428571,0.0,0.2097304404996712,4,1.042651359952076,0.8941957954117101,0.2235489488529275,0.0642836922728938,0.4670208244469948,0.8780407626561473,0.1189375631479562,1.9997250209440576,0.6914362552239003,0.0,0.4373310939991316,1,1.5777786562706828,0.3314500500420891,638,2652,371,256,3042,Neither,3,Tie,2,1,0,0,0.0,1,low,0,hard,2,0.0,0.037847884639636,0.037847884639636
4,1.0,0.145985401459854,0.8999999999999998,4.95194092286809,0.4771395370672589,0.3725453477422235,0.3364918198236526,0.1830738815409358,0.2735445671792975,3.9047619047619047,4.1891891891891895,0.0383154021517417,7,1.5088264528439894,2.04805907713191,0.2925798681617014,0.3136131818592494,0.2953465210691426,0.7599488061432628,0.2222789570831432,1.99999683324768,0.6586358240936001,0.7366186151399733,0.5147326208639948,1,1.0781583668869716,0.3711064160506587,958,319,6002,973,25003,MCTS,2,MCTS,1,0,0,1,1.0,0,medium,1,medium,1,-0.3725453477422235,0.3725453477422235,0.0
3,0.5,0.1096234309623431,0.7636363636363637,3.0770043267933502,0.272990632968822,0.1366632035314895,0.1890890342784917,0.0071549362988241,-0.1893558357460636,10.023255813953488,0.0,0.1312232113419057,4,0.0,0.9229956732066498,0.2307489183016624,-0.5483868034152254,0.3736824459546357,0.9006484229036158,0.1122500456075057,1.9687981475790552,0.4171932037573555,0.0,-0.0871730589549418,0,2.2689175364874408,0.0416306557934696,1194,8129,904,817,9099,Both,1,AB,0,0,1,1,0.8,0,medium,1,easy,0,0.0273326407062979,0.0,0.0273326407062979
4,0.0,0.0950870010235414,0.7417582417582418,3.5817351944699,0.473346061129511,0.047036037698936,0.296919035723118,0.1457908127899463,0.1939013244922383,12.787671232876711,0.0,0.4096703849702256,4,3.1678691689418144,0.4182648055301001,0.104566201382525,0.3431217328267574,0.2312774626594366,0.922209175543068,0.1014158048838095,1.9751967548791285,0.4953584933750222,0.0,0.58990115416052,1,1.7638988757729002,0.130361890630571,9769,21805,1855,383,23846,Neither,3,Tie,2,1,0,0,0.0,1,low,0,hard,2,0.0,0.1100685343829184,0.1100685343829184
5,1.0,0.1621233859397417,0.9999999999999998,4.721471747924364,0.2926304705802587,0.5020020653900938,0.1237169979102138,0.1899542105214126,0.3149353906181183,3.5,3.932584269662921,0.108040981061782,7,1.771919144826628,2.278528252075636,0.3255040360108051,0.2585624754551537,0.24897630366463,0.7494566904687985,0.2827374501016669,1.9997199281482425,0.3022229120259255,0.7202618809848051,0.5279552993733414,1,0.9549503573495676,0.3213773033145366,696,96,1614,255,6442,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
1,0.0,0.0,0.1035714285714285,1.4841082451380927,0.1533687634537094,0.0352320089314027,0.1734299551551503,0.0593412829581939,-0.2614585305591724,0.0,0.0,0.2727272727272727,2,1.1035563692266879,0.5158917548619073,0.2579458774309536,0.870292024578871,0.8204773733847301,0.9333333333333332,0.1772382345968335,1.8961603486480625,0.0,0.0,0.8663110507525501,1,2.6723796953720864,0.0,45,0,11,8,165,Neither,3,AB,0,0,0,0,0.0,1,low,0,hard,2,0.1418621580358944,0.0352320089314027,0.1770941669672971
