branching_factor,depth,chance_node_density,heur_noise_param,total_nodes,total_leaves,total_internal_nodes,total_chance_nodes,total_max_nodes,total_min_nodes,leaf_to_internal_ratio,chance_node_fraction,leaf_density,branching_mean,branching_std,realized_max_depth,leaf_depth_mean,leaf_depth_std,leaf_value_mean,leaf_value_std,leaf_value_min,leaf_value_max,leaf_value_range,leaf_fraction_positive,leaf_skew,leaf_value_median,leaf_iqr,leaf_frac_near_max,node_count_d1,chance_node_count_d1,leaf_value_mean_d1,leaf_value_std_d1,branching_mean_d1,node_count_d2,chance_node_count_d2,leaf_value_mean_d2,leaf_value_std_d2,branching_mean_d2,node_count_d3,chance_node_count_d3,leaf_value_mean_d3,leaf_value_std_d3,branching_mean_d3,node_count_d4,chance_node_count_d4,leaf_value_mean_d4,leaf_value_std_d4,branching_mean_d4,node_count_d5,chance_node_count_d5,leaf_value_mean_d5,leaf_value_std_d5,branching_mean_d5,node_budget,budget_coverage,ab_reach_depth,depth_deficit,depth_deficit_rel,branch_top2_gap,branch_mean_spread,branch_value_skew,top2_size_ratio,top2_depth_diff,chance_frac_top1,chance_frac_top2,heur_incoherence,heur_incoherence_std,heur_noise_to_signal,ab_nodes_visited,ab_pruning_rate,ab_root_eval_std,ab_instability,ab_depth_reached,ab_ranking_correlation,mcts_vote_margin,mcts_visit_entropy,mcts_best_value_estimate,exact_best_value,exact_second_best_value,best_move_margin,best_move_margin_normalized,ab_correct,mcts_correct,mcts_correct_rate,which_algo,margin_category,is_contested,which_better,delta,ab_regret,mcts_regret
12,3,0.0,0.728891544844219,1214,1116,98,0,90,8,11.387755102040817,0.0,0.9192751235584844,12.377551020408163,2.0077162684861265,3,2.986559139784946,0.12978610435025065,0.568195647625249,0.6907272883962586,-0.9999460517391727,0.9999999622599053,1.999946013999078,0.793010752688172,-1.3479037298813825,0.9873651287830757,0.6567454744410559,0.5931899641577061,10,0,0.7154502111395896,0.2793656201788305,12.5,100,0,0.3651378152829762,0.7561234218693097,12.393258426966293,1103,0,0.5699536957020725,0.6902394890943332,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,635,0.5230642504118617,2.5971297551331687,0.4028702448668313,0.1342900816222771,0.01430981477949822,0.4892548710562036,-0.41743728276911485,0.006711409395973154,-2,0.0,0.0,0.35854149762330484,0.5160941387861875,1.0552522784159444,636,0.09119496855345911,0.9363871187073386,1.0,2,0.8909090909090909,0.004675435281342652,1.9697362465420893,0.9948158313184196,0.9995254471451281,0.9995236090572833,1.8380878448187588e-06,9.190687308320544e-07,0,0,0,Neither,low,1,Tie,0.0,0.004709615826708036,0.004709615826708036
4,8,0.056796139698938396,1.1414436673688635,15619,11308,4311,215,947,3149,2.6230572952911158,0.04987241939225238,0.7239900121646712,3.6228253305497566,0.6104924197258924,8,7.952423063318005,0.2843649500865625,-0.12497627681008759,0.47839461017675666,-0.9813001114018048,0.9699944626151388,1.9512945740169436,0.3968871595330739,0.21905670810782318,-0.1573806499676371,0.7770241830327305,0.002564556066501592,2,0,0.0,0.0,3.5,7,0,0.0,0.0,3.5714285714285716,25,0,-0.1712617174618801,0.09581039782503306,3.782608695652174,87,1,0.011416252100943594,0.3824614086954249,3.5952380952380953,302,13,-0.17524043966645267,0.356106338899603,3.581818181818182,1674,0.10717715602791472,5.3545419062751725,2.6454580937248275,0.33068226171560344,0.13993411044210582,0.06996705522105291,0.0,1.301503094606543,0,0.05473251028806585,0.043617021276595745,0.22860371292421813,0.19730208993439197,2.3859877245421397,1675,0.17492537313432835,0.07432730276482309,0.4,6,0.9999999999999998,0.4029182735418979,0.6083002794974635,-0.10169757124993352,-0.22236363443142648,-0.38486723089342184,0.16250359646199536,0.08327988947740717,1,1,1,Both,medium,0,Tie,0.0,0.0,0.0
13,2,0.0,0.2536254234906656,214,199,15,0,1,14,13.266666666666667,0.0,0.9299065420560748,14.2,1.9390719429665315,2,2,0.0,0.27233231853483736,0.5806165241394106,-0.9888465206857184,0.9984650343794699,1.9873115550651883,0.678391959798995,-0.5640995274873277,0.4400948957619135,1.0141284632618617,0.05527638190954774,14,0,0.0,0.0,14.214285714285714,199,0,0.27233231853483736,0.5806165241394106,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,75,0.35046728971962615,1.6832644671820012,0.3167355328179988,0.1583677664089994,0.17292935549599564,0.3710782530875619,-0.2208033066974528,1.0,0,0.0,0.0,0.7967246082527206,0.33649686872093376,0.43682088426020776,76,0.0,0.49925468882059937,0.0,1,0.8021978021978022,0.005263157894736842,2.5619112669108888,0.8641330733295921,0.6425416586523809,0.1954211913174685,0.4471204673349124,0.224987605086534,1,1,1,Both,high,0,Tie,0.0,0.0,0.0
5,6,0.0,0.7110803048206898,11047,8769,2278,0,413,1865,3.849429323968393,0.0,0.7937901692767267,4.848990342405619,0.7850816764596541,6,5.974227391948911,0.19345411421644765,-0.4234404368717144,0.7082592005565298,-0.999999875631235,0.9999556822848865,1.9999555579161217,0.2697000798266621,0.929020435406823,-0.8373991384992675,1.1161076491213229,0.057817310981867945,4,0,0.0,0.0,4.75,19,0,0.0,0.0,5,95,0,-0.4931295472355597,0.6939931903009675,4.905882352941177,417,0,-0.551352823810435,0.5198106607555886,4.895674300254453,1924,0,-0.4568572735202781,0.6510245750698858,4.8350225225225225,1742,0.15768987055309133,4.636891612753044,1.3631083872469558,0.22718473120782598,0.061430223191706046,0.08674389193762805,-0.36832758505928725,0.9644429393836776,0,0.0,0.0,0.2726840448305259,0.3565010669862478,1.0039831523006595,1743,0.18301778542742397,0.09757007078178988,1.0,5,0.3999999999999999,0.10607372054623229,1.2950037190603672,-0.5313565470830339,-0.9137638635538372,-0.9156654265384,0.001901562984562788,0.0009508026201062912,0,0,0,Neither,low,1,MCTS,-0.07532363133970565,0.07722519432426844,0.001901562984562788
9,4,0.6214021611825022,0.9780475451312026,7669,6866,803,510,22,271,8.550435865504358,0.635118306351183,0.8952927369930891,9.549190535491906,1.4294565992626982,4,3.989222254587824,0.11398205537876839,0.21719130360194583,0.7379112441102896,-0.9999884597268959,0.9999874081764762,1.9999758679033721,0.6197203612001165,-0.4361281336375109,0.48079077277454724,1.464710185534161,0.2146810369938829,9,6,0.0,0.0,10,90,61,0.45221766441215394,0.4552622887117363,9.378048780487806,769,443,0.23020298389779115,0.690390154898171,9.563994374120956,6800,0,0.21680382002199866,0.7385269918372735,0.0,0,0,0.0,0.0,0.0,1009,0.1315686530186465,3.147932665462449,0.8520673345375509,0.21301683363438773,0.00572672100574273,0.3148858013628921,-0.8348225747105523,1.1886024423337855,0,0.5934065934065934,0.6153846153846154,0.3432090971174773,0.3817867762696398,1.3254270793914367,1010,0.10495049504950495,0.6008422438657047,1.0,3,0.3,0.12673191842611034,1.8919215316456504,0.5814129693485655,0.6212435400178105,0.317650166772878,0.30359337324493246,0.15179851823072119,1,1,0.8,Both,medium,0,AB,0.06525826722836947,0.0,0.06525826722836947
12,2,0.23545933465019214,0.9942278443256514,134,122,12,4,1,7,10.166666666666666,0.3333333333333333,0.9104477611940298,11.083333333333334,1.3202482931462383,2,1.9918032786885247,0.09016393442622951,0.0663899518380533,0.511172601521733,-0.8444806298102103,0.8998083436294908,1.7442889734397011,0.5081967213114754,0.08098481442964353,0.022088566811568587,0.9572094029295646,0.04918032786885246,12,4,0.4311436517653532,0.0,11,121,0,0.06337545845022437,0.5121994500583185,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,0.14925373134328357,1.2055713536802566,0.7944286463197434,0.3972143231598717,0.07213070850937175,0.393874147128609,0.13543367240941565,1.5555555555555556,0,0.0,0.0,0.48958276581453414,0.36068480002784914,1.944994393998992,12,0.0,0.4330127894053938,0.0,1,0.5734265734265734,0.0,2.3978952727983707,-0.19282187302215928,0.4311436517653532,0.42733107446505336,0.0038125773002998242,0.0021857486679982287,0,0,0,Neither,low,1,AB,1.0420380215169238,0.17620603940507185,1.2182440609219958
6,3,0.043457781264131114,0.14119506290952383,251,209,42,2,35,5,4.976190476190476,0.047619047619047616,0.8326693227091634,5.9523809523809526,0.8438116736509215,3,2.9808612440191387,0.16835035488764766,0.5062753077796759,0.606124448285025,-0.9608207891216649,0.9999875793629238,1.9608083684845887,0.7751196172248804,-1.095024179019892,0.8015653975637271,0.8735054693598965,0.3349282296650718,7,1,-0.8991244444142072,0.0,6.166666666666667,37,1,0.8933127292323428,0.10436872202550967,5.885714285714286,206,0,0.5093399918053485,0.6013148461962075,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,39,0.1553784860557769,2.0446726857305357,0.9553273142694643,0.3184424380898214,0.05772564327020091,0.555463945295012,-1.2245436307256383,1.393939393939394,0,0.2857142857142857,0.0,0.45890856044563494,0.5260790462365094,0.23294731520733514,40,0.0,0.6917233533860242,0.0,1,0.7857142857142856,0.02857142857142857,1.8620360553497837,0.7028876164038367,0.9804919888654073,0.9292167040511864,0.051275284814220945,0.026150074448044642,1,0,0.2,AB,low,1,AB,0.22186682603004682,0.0,0.22186682603004682
5,5,0.0,0.127777902076129,2075,1634,441,0,358,83,3.7052154195011338,0.0,0.7874698795180722,4.702947845804989,0.7709083604604283,5,4.977356181150551,0.18539411640649733,0.3405468597397151,0.6811282256554296,-0.999468296568167,0.9999761136957062,1.999444410263873,0.6952264381884945,-0.7099905934558297,0.642555780600836,1.176656914622857,0.24112607099143207,4,0,0.0,0.0,4.75,19,0,0.6326901246808112,0.3454321872390824,4.882352941176471,83,0,0.6508494307907088,0.2969788441437175,4.594936708860759,363,0,0.36765240945324845,0.5506712254213646,4.720588235294118,1605,0,0.3390210501088756,0.6835533247293354,0.0,100,0.04819277108433735,2.8613531161467867,2.1386468838532133,0.42772937677064266,0.35041662801410806,0.3065351203933486,0.44731208975226816,0.9314516129032258,0,0.0,0.0,0.30767324047439687,0.3206285379419992,0.18759742624550918,101,0.10891089108910891,0.4751477209203746,0.0,3,0.9999999999999998,0.250197628458498,1.204988465338166,0.8905454508046333,0.9781223119198936,0.7641274056106553,0.21399490630923834,0.10702718475728802,1,1,1,Both,medium,0,Tie,0.0,0.0,0.0
8,4,0.16753045901585864,0.5074882675273203,3497,3034,463,90,46,327,6.552915766738661,0.19438444924406048,0.8676008006863025,7.550755939524838,1.2423043761078392,4,3.9812129202373105,0.16230981107266396,-0.4377342244310567,0.6476610999512854,-0.9999876636651263,0.9981501437974156,1.998137807462542,0.24983520105471324,0.9657233452560626,-0.7675013586264938,0.9593265875276922,0.027686222808174028,9,4,-0.11814369697088566,0.0,8.375,67,13,-0.7485531700835473,0.3390929835310755,7.448275862068965,432,73,-0.5298009809382809,0.5937861628585925,7.545454545454546,2988,0,-0.4357957427651691,0.6487658737205845,0.0,0,0,0.0,0.0,0.0,363,0.10380325993708893,2.834608579331917,1.165391420668083,0.2913478551670208,0.03206156795979399,0.35091363807014064,0.27437954556502375,0.8827433628318584,0,0.24528301886792453,0.15,0.2850674078094283,0.3343062286920431,0.7835707093810199,362,0.11878453038674033,0.2692315378713852,0.5,3,0.6,0.06677525862756256,1.9576765333309394,-0.006811658596977093,0.15335713297293246,-0.11814369697088566,0.27150082994381813,0.1358769294739486,0,1,0.8,MCTS,medium,0,MCTS,-0.2172006639550545,0.27150082994381813,0.054300165988763624
9,3,0.013349201422098323,0.7369446362211056,588,523,65,1,57,7,8.046153846153846,0.015384615384615385,0.8894557823129252,9.03076923076923,1.3919464044636949,3,2.994263862332696,0.09760802308298447,0.014909404853738378,0.6698675189750799,-0.997755318106966,0.9963063787781874,1.9940616968851534,0.5124282982791587,-0.07482600008265337,0.06044075317646906,1.3175674797936128,0.045889101338432124,8,0,0.22311597617134304,0.0,8.285714285714286,58,1,0.5083239309082833,0.0,9.140350877192983,521,0,0.013562723284885883,0.6707404323821072,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,31,0.05272108843537415,1.5628749286285073,1.4371250713714927,0.4790416904571642,0.5424366116518683,0.4037412601397811,-0.21057484268040166,72.0,2,0.0,0.0,0.4857874567815903,0.3016833836097079,1.1001349003287337,32,0.0,0.4751830162573125,0.0,1,0.5,0.05303030303030303,1.99266569225342,0.7279746829128604,0.8680537059409436,0.5497260888777552,0.31832761706318835,0.15963779734620828,1,1,0.6,Both,medium,0,AB,0.34825647046574826,0.0,0.34825647046574826
